Company Name,Country,email,website link,contact,coverage type,services rendered,target customers,address
STERLING HEALTH MANAGED CARE SERVICES LIMITED,Nigeria,info@sterlinghealth-mcs.com,https://www.sterlinghealthmanagedcareservices.com.ng,"07009110911, 07014184367","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
SUNU HEALTH NIGERIA LIMITED,Nigeria,nigeria.health@sunu-group.com,https://www.sunuhealthnigeria.com.ng,"070010008000, 08003425647","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
SYNERGY WELLCARE MEDICAID LIMITED,Nigeria,synergywellcare@gmail.com,https://www.synergywellcaremedicaid.com.ng,"08099992825, 08098862873, 09081777726,09081888837","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
TOTAL HEALTH TRUST LIMITED,Nigeria,thtabuja@totalhealthtrust.com,https://www.totalhealthtrust.com.ng,07080687600 014482105,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Premium National HMO Managed Care, Customized Corporate Plans, Executive Health Screenings","Blue-Chip Corporations, Oil & Gas Sector, Multinationals, and Premium Individuals","Corporate Registry Office, CBD, Lagos, Nigeria"
ULTIMATE HEALTH MANAGEMENT SERVICES LTD,Nigeria,info@ultimatehealthhmo.com,https://www.ultimatehealthmanagementservices.com.ng,"070085846283, 08179948153","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
UNITED COMPREHENSIVE HEALTH MANAGERS LTD.,Nigeria,info@uchm.net,https://www.unitedcomprehensivehealthmanagers.com.ng,"08158393328, 07033683712","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
UNITED HEALTHCARE INTERNATIONAL LIMITED,Nigeria,info@unitedhealthcare-ng.com,https://www.unitedhealthcareinternational.com.ng,07088485894 08164582835 094611600,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
VENUS MEDICARE LTD,Nigeria,info@venusmedicare.com,https://www.venusmedicare.com.ng,"070033330000, 07046090877, 07046090878","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
VERITAS HEALTHCARE LIMITED,Nigeria,info@vhcl.com.ng,https://www.veritashealthcare.com.ng,07067880493 08137895669 08137967923 08082560543,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
WELL HEALTH NETWORK LIMITED,Nigeria,info@wellhealthnetwork.com,https://www.wellhealthnetwork.com.ng,08086250004,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
WELLNESS HEALTH MANAGEMENT SERVICES LIMITED,Nigeria,callcenter@wellnesshmo.com,https://www.wellnesshealthmanagementservices.com.ng,"070093556377, 08098726196, 08184742564","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
ZUMA HEALTH TRUST,Nigeria,zumahmo28@gmail.com,https://www.zumahealthtrust.com.ng,"07062236824, 09055958534, 08094872221,","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
Healthnomics HMO PLC,Nigeria,info@healthnomicshmoplc.org,https://www.healthnomicshmoplc.com.ng,"07033112298, 08020703947","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
HYSSOP Health International Limited (HMO),Nigeria,info@hyssophmo.com,https://www.hyssophealthinternational.com.ng,08038630662,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
Hopewell Healthcare Management Ltd,Nigeria,hdimka@hopewellhealthcare.ng,https://www.hopewellhealthcaremanagement.com.ng,08066951910,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
Crown Jewel HMO Ltd.,Nigeria,info@crownjewelhmo.com,https://www.crownjewelhmo.com.ng,+2348065598104,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
Smathealth Medicare Limited,Nigeria,info@smarthealth.com,https://www.smathealthmedicare.com.ng,"08032343023, 08087651504","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
Health Assur Limited,Nigeria,info@healthassur.com,https://www.healthassur.com.ng,08035541657,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
Quest Medicare Limited,Nigeria,emannuel.omoloye@questhmo.com,https://www.questmedicare.com.ng,"07033581816, 08180004972","Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
Life Action Plus Ltd.,Nigeria,info@lifeactionplus.com,https://www.lifeactionplus.com.ng,07055023555,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
Zenor Healthcare Ltd.,Nigeria,zenorhealthcare@gmail.com,https://www.zenorhealthcare.com.ng,08164638041,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Low-Cost Community Health Management, Retail Micro-Insurance Plans, Basic Clinical Care Access","Local Retail Consumers, Informal Sector Groups, Small Scale Artisans, and Micro-SMEs","Corporate Registry Office, CBD, Lagos, Nigeria"
Aspire HMO Limited,Nigeria,info@aspirehmo.com,https://www.aspirehmo.com.ng,07071495437,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
Mitera Health Limited,Nigeria,gbeminiyi.onabanjo@miterahealth.com,https://www.miterahealth.com.ng,08033273747,"Inpatient, Outpatient, Maternity, Dental, Emergency Care","Standard Accredited NHIA Managed Care, Multi-Tiered Hospital Network Coverage","Private Sector SMEs, State Government Civil Servants, Middle-Income Families","Corporate Registry Office, CBD, Lagos, Nigeria"
Bupa Insurance Limited,England,enquiries@bupa.com,https://bupa.co.uk,+44 (0) 345 600 7233,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","1 Angel Court, London, EC2R 7HJ, United Kingdom"
AXA PPP Healthcare Limited,England,info@axahealth.co.uk,https://axahealth.co.uk,+44 (0) 800 032 7000,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","5 Old Broad Street, London, EC2N 1AD, United Kingdom"
Aviva Health UK Limited,England,healthpolicy@aviva.com,https://aviva.co.uk,+44 (0) 345 050 8855,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","St Helen's, 1 Undershaft, London, EC3P 3DQ, United Kingdom"
Vitality Corporate Services Limited,England,support@vitality.co.uk,https://vitality.co.uk,+44 (0) 345 601 0072,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","3 More London Riverside, London, SE1 2AQ, United Kingdom"
The Exeter,England,enquiries@the-exeter.com,https://the-exeter.com,+44 (0) 300 123 3201,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
WPA (Western Provident Association),England,info@wpa.org.uk,https://wpa.org.uk,+44 (0) 1823 625100,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
Simplyhealth,England,customer-services@simplyhealth.co.uk,https://simplyhealth.co.uk,+44 (0) 300 100 1024,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
Benenden Health,England,info@benenden.co.uk,https://benenden.co.uk,+44 (0) 800 414 8100,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Affordable Mutual Healthcare Community Infrastructure, Health Diagnostics","Everyday Individuals, Families, and Value-Conscious Consumers","Main Commercial District Head Office, London, England"
Freedom Health Insurance,England,info@freedomhealth.co.uk,https://freedomhealthinsurance.co.uk,+44 (0) 1202 756350,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
National Friendly,England,info@nationalfriendly.co.uk,https://nationalfriendly.co.uk,+44 (0) 117 921 1146,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Affordable Mutual Healthcare Community Infrastructure, Health Diagnostics","Everyday Individuals, Families, and Value-Conscious Consumers","Main Commercial District Head Office, London, England"
Bupa Insurance Limited,England,enquiries@bupa.com,https://bupa.co.uk,+44 (0) 345 600 7233,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","1 Angel Court, London, EC2R 7HJ, United Kingdom"
AXA PPP Healthcare Limited,England,info@axahealth.co.uk,https://axahealth.co.uk,+44 (0) 800 032 7000,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","5 Old Broad Street, London, EC2N 1AD, United Kingdom"
Aviva Health UK Limited,England,healthpolicy@aviva.com,https://aviva.co.uk,+44 (0) 345 050 8855,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","St Helen's, 1 Undershaft, London, EC3P 3DQ, United Kingdom"
Vitality Corporate Services Limited,England,support@vitality.co.uk,https://vitality.co.uk,+44 (0) 345 601 0072,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","3 More London Riverside, London, SE1 2AQ, United Kingdom"
The Exeter,England,enquiries@the-exeter.com,https://the-exeter.com,+44 (0) 300 123 3201,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
WPA (Western Provident Association),England,info@wpa.org.uk,https://wpa.org.uk,+44 (0) 1823 625100,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
Simplyhealth,England,customer-services@simplyhealth.co.uk,https://simplyhealth.co.uk,+44 (0) 300 100 1024,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
Benenden Health,England,info@benenden.co.uk,https://benenden.co.uk,+44 (0) 800 414 8100,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Affordable Mutual Healthcare Community Infrastructure, Health Diagnostics","Everyday Individuals, Families, and Value-Conscious Consumers","Main Commercial District Head Office, London, England"
Freedom Health Insurance,England,info@freedomhealth.co.uk,https://freedomhealthinsurance.co.uk,+44 (0) 1202 756350,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
National Friendly,England,info@nationalfriendly.co.uk,https://nationalfriendly.co.uk,+44 (0) 117 921 1146,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Affordable Mutual Healthcare Community Infrastructure, Health Diagnostics","Everyday Individuals, Families, and Value-Conscious Consumers","Main Commercial District Head Office, London, England"
Bupa Insurance Limited,England,enquiries@bupa.com,https://bupa.co.uk,+44 (0) 345 600 7233,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","1 Angel Court, London, EC2R 7HJ, United Kingdom"
AXA PPP Healthcare Limited,England,info@axahealth.co.uk,https://axahealth.co.uk,+44 (0) 800 032 7000,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","5 Old Broad Street, London, EC2N 1AD, United Kingdom"
Aviva Health UK Limited,England,healthpolicy@aviva.com,https://aviva.co.uk,+44 (0) 345 050 8855,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","St Helen's, 1 Undershaft, London, EC3P 3DQ, United Kingdom"
Vitality Corporate Services Limited,England,support@vitality.co.uk,https://vitality.co.uk,+44 (0) 345 601 0072,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","3 More London Riverside, London, SE1 2AQ, United Kingdom"
The Exeter,England,enquiries@the-exeter.com,https://the-exeter.com,+44 (0) 300 123 3201,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
WPA (Western Provident Association),England,info@wpa.org.uk,https://wpa.org.uk,+44 (0) 1823 625100,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
Simplyhealth,England,customer-services@simplyhealth.co.uk,https://simplyhealth.co.uk,+44 (0) 300 100 1024,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
Benenden Health,England,info@benenden.co.uk,https://benenden.co.uk,+44 (0) 800 414 8100,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Affordable Mutual Healthcare Community Infrastructure, Health Diagnostics","Everyday Individuals, Families, and Value-Conscious Consumers","Main Commercial District Head Office, London, England"
Freedom Health Insurance,England,info@freedomhealth.co.uk,https://freedomhealthinsurance.co.uk,+44 (0) 1202 756350,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Main Commercial District Head Office, London, England"
National Friendly,England,info@nationalfriendly.co.uk,https://nationalfriendly.co.uk,+44 (0) 117 921 1146,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Affordable Mutual Healthcare Community Infrastructure, Health Diagnostics","Everyday Individuals, Families, and Value-Conscious Consumers","Main Commercial District Head Office, London, England"
Bupa Insurance Limited,England,enquiries@bupa.com,https://bupa.co.uk,+44 (0) 345 600 7233,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","1 Angel Court, London, EC2R 7HJ, United Kingdom"
Bupa Insurance Limited,Wales,enquiries@bupa.com,https://bupa.co.uk,+44 (0) 345 600 7233,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","Cardiff Gate Business Park, Cardiff, CF23 8RA, Wales"
AXA PPP Healthcare Limited,Wales,info@axahealth.co.uk,https://axahealth.co.uk,+44 (0) 800 032 7000,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","Pharos House, Cardiff Road, Newport, NP20 2AG, Wales"
Aviva Health UK Limited,Wales,healthpolicy@aviva.com,https://aviva.co.uk,+44 (0) 345 050 8855,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
Vitality Corporate Services Limited,Wales,support@vitality.co.uk,https://vitality.co.uk,+44 (0) 345 601 0072,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
The Exeter,Wales,enquiries@the-exeter.com,https://the-exeter.com,+44 (0) 300 123 3201,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
WPA (Western Provident Association),Wales,info@wpa.org.uk,https://wpa.org.uk,+44 (0) 1823 625100,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
Simplyhealth,Wales,customer-services@simplyhealth.co.uk,https://simplyhealth.co.uk,+44 (0) 300 100 1024,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
Benenden Health,Wales,info@benenden.co.uk,https://benenden.co.uk,+44 (0) 800 414 8100,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Affordable Mutual Healthcare Community Infrastructure, Health Diagnostics","Everyday Individuals, Families, and Value-Conscious Consumers","Regional Operations Center, Cardiff Capital Region, Wales"
Freedom Health Insurance,Wales,info@freedomhealth.co.uk,https://freedomhealthinsurance.co.uk,+44 (0) 1202 756350,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
National Friendly,Wales,info@nationalfriendly.co.uk,https://nationalfriendly.co.uk,+44 (0) 117 921 1146,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Affordable Mutual Healthcare Community Infrastructure, Health Diagnostics","Everyday Individuals, Families, and Value-Conscious Consumers","Regional Operations Center, Cardiff Capital Region, Wales"
Bupa Insurance Limited,Wales,enquiries@bupa.com,https://bupa.co.uk,+44 (0) 345 600 7233,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","Cardiff Gate Business Park, Cardiff, CF23 8RA, Wales"
AXA PPP Healthcare Limited,Wales,info@axahealth.co.uk,https://axahealth.co.uk,+44 (0) 800 032 7000,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","Pharos House, Cardiff Road, Newport, NP20 2AG, Wales"
Aviva Health UK Limited,Wales,healthpolicy@aviva.com,https://aviva.co.uk,+44 (0) 345 050 8855,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
Vitality Corporate Services Limited,Wales,support@vitality.co.uk,https://vitality.co.uk,+44 (0) 345 601 0072,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
The Exeter,Wales,enquiries@the-exeter.com,https://the-exeter.com,+44 (0) 300 123 3201,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
WPA (Western Provident Association),Wales,info@wpa.org.uk,https://wpa.org.uk,+44 (0) 1823 625100,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
Simplyhealth,Wales,customer-services@simplyhealth.co.uk,https://simplyhealth.co.uk,+44 (0) 300 100 1024,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
Benenden Health,Wales,info@benenden.co.uk,https://benenden.co.uk,+44 (0) 800 414 8100,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Affordable Mutual Healthcare Community Infrastructure, Health Diagnostics","Everyday Individuals, Families, and Value-Conscious Consumers","Regional Operations Center, Cardiff Capital Region, Wales"
Freedom Health Insurance,Wales,info@freedomhealth.co.uk,https://freedomhealthinsurance.co.uk,+44 (0) 1202 756350,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
National Friendly,Wales,info@nationalfriendly.co.uk,https://nationalfriendly.co.uk,+44 (0) 117 921 1146,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Affordable Mutual Healthcare Community Infrastructure, Health Diagnostics","Everyday Individuals, Families, and Value-Conscious Consumers","Regional Operations Center, Cardiff Capital Region, Wales"
Bupa Insurance Limited,Wales,enquiries@bupa.com,https://bupa.co.uk,+44 (0) 345 600 7233,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","Cardiff Gate Business Park, Cardiff, CF23 8RA, Wales"
AXA PPP Healthcare Limited,Wales,info@axahealth.co.uk,https://axahealth.co.uk,+44 (0) 800 032 7000,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Global Health Coverage, 24/7 Digital GP, Corporate Healthcare Consulting","Multinational Corporations, Premium High-Net-Worth Individuals, International Expats","Pharos House, Cardiff Road, Newport, NP20 2AG, Wales"
Aviva Health UK Limited,Wales,healthpolicy@aviva.com,https://aviva.co.uk,+44 (0) 345 050 8855,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
Vitality Corporate Services Limited,Wales,support@vitality.co.uk,https://vitality.co.uk,+44 (0) 345 601 0072,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
The Exeter,Wales,enquiries@the-exeter.com,https://the-exeter.com,+44 (0) 300 123 3201,"Acute Medical Treatment, Private Hospital Stays, Surgery, Diagnostics","Comprehensive Private Medical Insurance (PMI), Specialized Underwriting","Corporate Employers, Mid-Market SMEs, and Private Families","Regional Operations Center, Cardiff Capital Region, Wales"
